Series_Name,Country_Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Current health expenditure per capita (current US$),Brunei Darussalam,508.5484009,464.7904358,473.2272339,535.2774048,619.2869873,646.1602173,654.6901856,702.6691895,788.6153565,741.2953491,803.5268555,877.1575928,883.6755981,849.3306274,798.7937012,743.920044
Current health expenditure per capita (current US$),Bulgaria,94.49745178,119.8299789,148.1479187,195.7436981,233.113327,267.741394,294.1089172,361.2349854,455.5405884,459.3002014,484.7522888,555.8641968,558.6479492,547.454834,605.2589111,521.4190674
Current health expenditure per capita (current US$),Burkina Faso,7.52564335,7.70798016,8.71375179,11.74841595,17.61220932,18.08620071,21.35472488,27.96674919,29.78364944,31.59088516,33.91081619,34.8739357,34.89026642,43.79697418,39.59173203,33.51475906
Current health expenditure per capita (current US$),Burundi,8.42834568,8.60474777,7.96743488,7.16897392,9.8821106,12.77716923,16.64111137,18.25146484,18.31873894,21.8832016,26.41332245,25.13240814,21.51785278,21.93877029,20.53392982,19.4568367
Current health expenditure per capita (current US$),Cabo Verde,63.03440475,67.14394379,72.8820343,89.07603455,98.08786774,100.6719818,118.3291397,133.4176483,133.2350769,135.4057159,151.160141,161.0337372,176.9837341,191.2829895,191.176239,146.607605
Current health expenditure per capita (current US$),Cambodia,19.73148346,22.56181908,24.55773354,25.21769905,28.98029327,32.49455261,33.02605438,30.96165657,49.2183609,55.96894836,54.29156113,66.20181274,69.04489136,71.99204254,73.28150177,72.03400421
Current health expenditure per capita (current US$),Cameroon,27.93606567,26.67946053,30.40726662,36.96333313,40.55318832,41.44176483,42.79501724,47.281353,52.45386124,49.16592789,48.31293106,56.36682129,55.1756134,55.45908356,60.85925674,49.74619293
Current health expenditure per capita (current US$),Canada,2007.880859,2063.92749,2159.315918,2562.914551,2925.067139,3296.501465,3778.271484,4199.288086,4459.876465,4357.233887,5048.309082,5355.67627,5459.959473,5409.788086,5189.82666,4615.64209
Current health expenditure per capita (current US$),Central African Republic,10.28705597,9.54669666,10.80481339,12.96637344,13.89353085,14.7944603,16.09814835,19.37653732,19.16386795,22.45341301,17.81714249,20.03986931,20.52720833,17.99575615,20.81191635,18.99312592
Current health expenditure per capita (current US$),Chad,10.23765469,11.79921436,18.12550163,18.198349,28.2273941,31.98035049,34.6416626,34.82590866,37.71233368,35.68569183,36.28798676,38.49904251,37.41161346,39.95672226,43.72490692,35.09303284
Current health expenditure per capita (current US$),Chile,356.9637756,327.1319885,323.0671692,349.9878235,427.5166931,500.6451721,571.201416,648.5598145,724.7012329,735.9789429,867.7307739,991.2028809,1077.82019,1179.472656,1145.408569,1127.021606
Current health expenditure per capita (current US$),China,42.11240387,43.66367722,49.14166641,55.6510849,63.26198578,71.86441803,81.22816467,97.07929993,131.8872833,162.6175537,186.4915009,236.3749237,281.6771545,326.0415955,359.3093262,390.1040955
Current health expenditure per capita (current US$),Colombia,132.879715,136.6105347,130.4255219,128.0061493,157.5755768,207.1589966,237.0175171,305.9917908,374.4269714,379.6958618,448.0877686,497.3807068,543.0700073,576.7012329,583.0588989,464.6349793
Current health expenditure per capita (current US$),Comoros,45.77197266,43.472435,48.72956085,57.74796677,62.88409805,62.4527359,62.53800583,67.81578064,72.68344879,68.19288635,67.074646,78.71292114,65.57981873,69.27052307,68.98582458,60.21103287
Current health expenditure per capita (current US$),Democratic Republic of the Congo,18.6212616,5.82149839,4.47839451,6.47020149,8.38838673,9.07471561,10.97469044,12.13539028,16.02249908,13.28515053,12.52543068,12.46153259,14.01603508,16.326828,19.37128258,19.87244987
Current health expenditure per capita (current US$),Costa Rica,248.753418,256.3935852,277.6987,289.0682678,292.0318298,311.7087708,362.5049133,427.0420227,515.4333496,534.5744629,660.5864258,749.6449585,784.4829712,825.3932495,831.3001709,883.9154663
Current health expenditure per capita (current US$),Cote d'Ivoire,36.47083664,31.83412552,31.49195862,39.49386978,47.48029327,49.2191925,54.63421631,66.77438354,78.02518463,74.76235962,73.97220612,74.19325256,76.09120941,72.7405014,80.42262268,63.07769775
Current health expenditure per capita (current US$),Croatia,371.0621338,388.3248901,386.4440918,512.1520996,634.6203003,727.1310425,816.0170288,1041.034424,1258.872437,1187.545288,1126.373657,1132.498901,1029.971191,889.944519,909.3716431,795.520813
Current health expenditure per capita (current US$),Cuba,180.8112183,198.1336517,213.3907929,227.0909576,231.9878235,331.532135,387.4201965,571.2655029,612.2435913,679.6263428,612.4650879,699.8342896,604.2123413,713.241333,866.0756226,986.7340088
Current health expenditure per capita (current US$),Cyprus,750.5167236,782.1616211,890.4829712,1145.058472,1286.971558,1366.01709,1474.02063,1694.271851,2155.246582,2105.477783,2045.292358,2114.668945,1899.372559,1916.322632,1873.891357,1616.549438
Current health expenditure per capita (current US$),Czech Republic,342.921051,388.5440369,497.7420349,640.6604004,746.3289185,852.6524658,942.118042,1110.176636,1449.336792,1442.242798,1373.931763,1516.55542,1387.406006,1554.509033,1512.926147,1284.046753
Current health expenditure per capita (current US$),Denmark,2496.047119,2602.642822,2895.807373,3607.042969,4194.873535,4442.755371,4778.891602,5468.379395,6137.776367,6221.688965,6011.538086,6281.004395,6003.830566,6236.554199,6380.784668,5469.334961
Current health expenditure per capita (current US$),Djibouti,31.95798492,31.04225731,40.19449615,46.11334229,40.28805161,40.95962524,47.32995605,50.44793701,53.96245575,55.32074356,56.2014122,68.77837372,72.22033691,67.53491211,73.12316895,82.28987885
Current health expenditure per capita (current US$),Dominica,254.785553,226.9600678,222.0938568,237.3544617,247.4588165,256.7341309,263.9116516,285.2404175,326.6416931,344.1196594,359.221344,376.9500732,396.8137817,375.1051025,385.1565857,393.936554
Current health expenditure per capita (current US$),Dominican Republic,140.138855,145.3536682,155.0956116,106.1385651,106.6501617,171.230011,164.1003876,198.0725403,240.4110718,256.3579102,309.9571838,335.0012817,359.6081848,359.5705566,380.0755005,400.3849487
Current health expenditure per capita (current US$),Ecuador,47.89228439,70.81141663,96.82357788,131.5996399,149.3884277,167.4712677,189.3207855,209.2506104,247.1404266,272.4638062,330.0005493,409.0367737,481.8218994,518.4137573,549.784729,525.9973145
Current health expenditure per capita (current US$),Egypt,73.65684509,73.07783508,68.25554657,53.82350159,53.93090057,63.86014175,71.35442352,78.95716858,97.20935059,106.6651917,113.2481995,125.2548676,150.7184143,150.6195984,167.2470856,183.4326172
Current health expenditure per capita (current US$),El Salvador,178.6319275,182.8806458,186.4581757,185.7367554,193.6116791,204.8970337,208.5317078,212.8181,224.842514,240.0522308,245.7085877,265.9998169,258.4768982,270.8797607,275.6874085,282.7453308
Current health expenditure per capita (current US$),Equatorial Guinea,40.92737579,58.34743881,73.50776672,106.5741272,143.7288208,163.7703095,195.2540741,249.9615326,419.6589966,307.4200134,314.1137085,335.7826843,274.3520508,382.3539429,424.7312012,328.8190918
Current health expenditure per capita (current US$),Eritrea,13.75257683,14.51352882,15.21526051,18.9991188,22.12163734,20.64315796,22.02857018,17.96751404,19.32589912,22.39599228,24.63759232,33.50611496,26.19568443,29.78876877,31.86192322,26.75016403
Current health expenditure per capita (current US$),Estonia,209.7131348,214.7041473,250.4802094,349.0580444,455.0681152,524.6801148,600.5078735,832.7330933,1038.562256,963.0196533,926.4541626,1015.968262,1013.314209,1144.646851,1238.927002,1112.914063
Current health expenditure per capita (current US$),Ethiopia,5.38449526,5.61692476,5.25928497,5.84133863,5.88065052,6.65360308,8.66179371,11.98231506,13.45180225,15.63803864,16.7058506,15.11116791,20.66479111,19.88365173,22.27192688,23.91623878
Current health expenditure per capita (current US$),Fiji,77.02472687,64.19293213,73.05122375,91.40223694,117.6831055,129.1089478,135.9334259,150.6568604,143.7672424,128.8149262,135.1828156,148.8311462,162.4147339,167.8189392,188.8338776,179.2215424
Current health expenditure per capita (current US$),Finland,1722.832642,1806.050171,2054.262939,2606.775879,3035.97876,3228.952148,3407.665527,3911.96582,4481.216797,4347.121582,4249.602051,4715.935059,4572.523438,4892.097168,4922.675781,4127.149902
Current health expenditure per capita (current US$),France,2161.853027,2192.71582,2449.758301,3006.305908,3458.627441,3575.025146,3814.276367,4318.73877,4812.536621,4741.415527,4598.320313,4939.310547,4651.108398,4901.933105,4998.668457,4208.38623
